"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"25.04.2019","3.491,92","3.495,41","3.496,40","3.476,28","36,71M","-0,31%"
"24.04.2019","3.502,63","3.500,56","3.515,15","3.491,89","41,76M","-0,03%"
"23.04.2019","3.503,85","3.494,40","3.506,68","3.487,17","33,09M","0,13%"
"18.04.2019","3.499,23","3.477,67","3.506,82","3.464,64","47,45M","0,62%"
"17.04.2019","3.477,73","3.466,89","3.486,76","3.459,81","41,37M","0,41%"
"16.04.2019","3.463,36","3.450,75","3.465,98","3.450,75","37,20M","0,37%"
"15.04.2019","3.450,46","3.448,91","3.456,54","3.443,56","33,92M","0,08%"
"12.04.2019","3.447,83","3.432,16","3.454,77","3.425,84","47,00M","0,36%"
"11.04.2019","3.435,34","3.430,73","3.442,25","3.412,15","38,02M","0,31%"
"10.04.2019","3.424,65","3.418,36","3.435,32","3.418,36","30,19M","0,22%"
"09.04.2019","3.417,22","3.437,07","3.450,69","3.416,67","30,88M","-0,61%"
"08.04.2019","3.438,06","3.446,15","3.447,11","3.433,47","26,00M","-0,27%"
"05.04.2019","3.447,47","3.445,05","3.453,02","3.437,92","32,06M","0,16%"
"04.04.2019","3.441,93","3.434,34","3.449,44","3.425,19","34,17M","0,19%"
"03.04.2019","3.435,56","3.399,93","3.435,90","3.399,93","37,85M","1,17%"
"02.04.2019","3.395,70","3.386,18","3.402,77","3.382,84","29,74M","0,30%"
"01.04.2019","3.385,38","3.353,67","3.390,98","3.353,67","39,34M","1,00%"
"29.03.2019","3.351,71","3.326,45","3.354,30","3.326,45","37,03M","0,95%"
"28.03.2019","3.320,29","3.321,34","3.337,56","3.315,91","32,24M","-0,05%"
"27.03.2019","3.322,04","3.322,64","3.344,67","3.302,80","46,17M","0,08%"
"26.03.2019","3.319,53","3.302,13","3.326,35","3.293,68","33,04M","0,58%"
"25.03.2019","3.300,48","3.297,41","3.313,43","3.281,97","34,96M","-0,16%"
"22.03.2019","3.305,73","3.371,68","3.377,93","3.301,60","59,83M","-1,83%"
"21.03.2019","3.367,40","3.372,36","3.376,21","3.348,95","35,62M","-0,15%"
"20.03.2019","3.372,38","3.404,10","3.406,12","3.372,38","34,00M","-1,07%"
"19.03.2019","3.409,00","3.389,81","3.422,34","3.386,26","35,23M","0,62%"
"18.03.2019","3.387,94","3.385,46","3.392,63","3.380,65","37,21M","0,05%"
"15.03.2019","3.386,08","3.345,06","3.394,32","3.345,06","94,14M","1,32%"
"14.03.2019","3.342,03","3.322,92","3.349,85","3.322,92","38,45M","0,56%"
"13.03.2019","3.323,45","3.301,81","3.327,35","3.300,17","33,48M","0,59%"
"12.03.2019","3.303,95","3.312,32","3.320,24","3.291,91","31,69M","-0,01%"
"11.03.2019","3.304,44","3.290,76","3.306,64","3.284,68","30,33M","0,63%"
"08.03.2019","3.283,60","3.299,85","3.299,85","3.273,68","46,67M","-0,76%"
"07.03.2019","3.308,85","3.321,18","3.337,66","3.293,34","57,84M","-0,48%"
"06.03.2019","3.324,67","3.322,96","3.340,67","3.317,98","37,04M","-0,08%"
"05.03.2019","3.327,19","3.316,96","3.330,72","3.308,64","34,82M","0,30%"
"04.03.2019","3.317,12","3.318,10","3.329,65","3.315,63","29,00M","0,15%"
"01.03.2019","3.312,10","3.306,59","3.330,48","3.306,59","39,24M","0,42%"
"28.02.2019","3.298,26","3.271,14","3.301,02","3.268,95","52,76M","0,47%"
"27.02.2019","3.282,77","3.283,57","3.287,47","3.269,98","43,96M","-0,20%"
"26.02.2019","3.289,32","3.275,14","3.293,76","3.261,03","35,40M","0,28%"
"25.02.2019","3.280,01","3.275,02","3.289,48","3.275,02","34,42M","0,29%"
"22.02.2019","3.270,55","3.263,49","3.281,78","3.259,74","27,40M","0,21%"
"21.02.2019","3.263,70","3.261,74","3.270,07","3.254,57","34,68M","0,13%"
"20.02.2019","3.259,49","3.241,70","3.264,71","3.236,74","30,86M","0,62%"
"19.02.2019","3.239,41","3.242,79","3.251,22","3.223,40","32,34M","-0,17%"
"18.02.2019","3.244,79","3.239,10","3.248,14","3.235,57","28,94M","0,11%"
"15.02.2019","3.241,25","3.179,38","3.247,34","3.175,71","54,99M","1,84%"
"14.02.2019","3.182,66","3.212,95","3.228,11","3.182,66","39,15M","-0,62%"
"13.02.2019","3.202,37","3.194,73","3.214,22","3.192,03","35,17M","0,36%"
"12.02.2019","3.190,75","3.176,76","3.200,50","3.176,76","35,63M","0,79%"
"11.02.2019","3.165,61","3.142,84","3.173,39","3.142,84","34,36M","0,96%"
"08.02.2019","3.135,62","3.151,17","3.161,14","3.124,62","39,50M","-0,48%"
"07.02.2019","3.150,76","3.204,93","3.208,67","3.150,76","46,94M","-1,93%"
"06.02.2019","3.212,75","3.208,43","3.216,13","3.199,03","41,03M","-0,07%"
"05.02.2019","3.215,04","3.165,84","3.215,04","3.162,78","51,90M","1,57%"
"04.02.2019","3.165,20","3.170,30","3.174,23","3.143,87","34,19M","-0,19%"
"01.02.2019","3.171,12","3.162,46","3.171,95","3.143,50","46,65M","0,37%"
"31.01.2019","3.159,43","3.163,02","3.177,10","3.129,58","63,22M","-0,07%"
"30.01.2019","3.161,74","3.155,80","3.163,34","3.148,84","33,89M","0,26%"
"29.01.2019","3.153,42","3.136,15","3.166,24","3.130,75","30,92M","0,51%"
"28.01.2019","3.137,27","3.157,00","3.157,00","3.131,26","32,31M","-0,82%"
"25.01.2019","3.163,24","3.133,81","3.168,03","3.133,81","39,27M","1,18%"
"24.01.2019","3.126,31","3.113,89","3.136,42","3.107,67","39,70M","0,46%"
"23.01.2019","3.112,13","3.104,08","3.132,79","3.094,48","33,22M","-0,02%"
"22.01.2019","3.112,80","3.120,32","3.122,76","3.097,27","30,95M","-0,39%"
"21.01.2019","3.125,07","3.131,85","3.131,85","3.120,03","20,90M","-0,31%"
"18.01.2019","3.134,92","3.079,15","3.137,42","3.079,15","49,45M","2,14%"
"17.01.2019","3.069,35","3.069,41","3.073,00","3.053,08","33,66M","-0,26%"
"16.01.2019","3.077,22","3.073,06","3.083,56","3.062,27","39,00M","0,30%"
"15.01.2019","3.068,05","3.066,02","3.088,49","3.044,53","37,74M","0,42%"
"14.01.2019","3.055,18","3.060,62","3.063,34","3.037,13","32,14M","-0,48%"
"11.01.2019","3.070,04","3.079,59","3.087,66","3.056,36","33,13M","-0,18%"
"10.01.2019","3.075,73","3.065,66","3.075,83","3.043,55","31,55M","0,18%"
"09.01.2019","3.070,24","3.062,37","3.089,17","3.060,96","40,60M","0,50%"
"08.01.2019","3.054,94","3.032,07","3.079,11","3.032,07","40,11M","0,70%"
"07.01.2019","3.033,64","3.050,00","3.054,72","3.016,32","33,79M","-0,27%"
"04.01.2019","3.041,85","2.964,15","3.050,66","2.964,15","44,43M","2,95%"
"03.01.2019","2.954,66","2.978,28","2.984,52","2.950,82","36,17M","-1,29%"
"02.01.2019","2.993,18","2.982,80","3.002,52","2.936,76","33,66M","-0,27%"
"31.12.2018","3.001,42","2.991,40","3.003,01","2.990,61","22,05M","0,50%"
"28.12.2018","2.986,53","2.952,05","2.996,17","2.951,51","33,81M","1,67%"
"27.12.2018","2.937,36","2.987,67","2.997,24","2.908,70","47,01M","-1,22%"
"24.12.2018","2.973,78","2.993,45","2.993,45","2.973,22","50,59M","-0,89%"
"21.12.2018","3.000,61","2.996,92","3.003,06","2.957,56","87,44M","0,02%"
"20.12.2018","3.000,06","3.031,32","3.031,32","2.993,40","58,89M","-1,68%"
"19.12.2018","3.051,38","3.042,19","3.063,70","3.042,19","48,10M","0,37%"
"18.12.2018","3.040,13","3.054,01","3.067,54","3.040,13","44,97M","-0,77%"
"17.12.2018","3.063,65","3.088,97","3.092,82","3.053,56","37,71M","-0,94%"
"14.12.2018","3.092,60","3.102,09","3.103,17","3.063,23","35,33M","-0,63%"
"13.12.2018","3.112,17","3.110,57","3.128,10","3.100,11","46,73M","0,14%"
"12.12.2018","3.107,97","3.059,25","3.119,20","3.059,25","48,95M","1,72%"
"11.12.2018","3.055,32","3.028,93","3.083,50","3.028,93","43,65M","1,27%"
"10.12.2018","3.016,99","3.054,67","3.054,67","3.007,53","44,43M","-1,36%"
"07.12.2018","3.058,53","3.057,99","3.097,92","3.057,99","41,13M","0,41%"
"06.12.2018","3.045,94","3.139,85","3.139,85","3.033,95","58,19M","-3,31%"
"05.12.2018","3.150,27","3.181,68","3.181,68","3.146,11","34,60M","-1,22%"
"04.12.2018","3.189,25","3.208,44","3.210,51","3.189,00","36,13M","-0,80%"
"03.12.2018","3.214,99","3.187,33","3.244,98","3.187,33","43,20M","1,32%"
"30.11.2018","3.173,13","3.178,06","3.182,16","3.159,08","43,62M","-0,03%"
"29.11.2018","3.174,16","3.176,31","3.197,90","3.169,85","37,93M","0,19%"
"28.11.2018","3.168,29","3.170,96","3.184,68","3.165,83","37,76M","0,06%"
"27.11.2018","3.166,42","3.173,14","3.186,84","3.151,89","38,19M","-0,20%"
"26.11.2018","3.172,71","3.151,22","3.184,66","3.151,22","46,68M","1,13%"
"23.11.2018","3.137,21","3.127,94","3.145,04","3.114,74","26,60M","0,34%"
"22.11.2018","3.126,67","3.148,80","3.148,80","3.121,59","30,93M","-0,86%"
"21.11.2018","3.153,91","3.124,60","3.156,77","3.124,60","39,77M","1,21%"
"20.11.2018","3.116,07","3.153,19","3.153,19","3.100,77","46,13M","-1,40%"
"19.11.2018","3.160,33","3.184,51","3.206,58","3.157,95","31,03M","-0,64%"
"16.11.2018","3.180,74","3.197,61","3.214,57","3.158,87","48,78M","-0,30%"
"15.11.2018","3.190,31","3.210,04","3.227,74","3.164,85","39,59M","-0,47%"
"14.11.2018","3.205,36","3.213,35","3.239,99","3.179,08","33,90M","-0,60%"
"13.11.2018","3.224,82","3.200,08","3.228,88","3.196,70","35,68M","0,96%"
"12.11.2018","3.194,08","3.237,95","3.248,33","3.192,58","31,96M","-1,10%"
"09.11.2018","3.229,49","3.233,11","3.234,79","3.204,94","39,67M","-0,25%"
"08.11.2018","3.237,60","3.248,70","3.263,72","3.231,80","33,12M","-0,26%"
"07.11.2018","3.246,16","3.212,67","3.251,95","3.212,67","43,72M","1,21%"
"06.11.2018","3.207,42","3.219,08","3.222,59","3.197,14","34,56M","-0,31%"
"05.11.2018","3.217,37","3.215,73","3.230,98","3.210,76","30,72M","0,09%"
"02.11.2018","3.214,41","3.217,78","3.251,67","3.214,39","40,69M","0,32%"
"01.11.2018","3.204,21","3.196,13","3.227,42","3.192,38","38,41M","0,21%"
"31.10.2018","3.197,51","3.160,02","3.210,29","3.160,02","61,63M","1,60%"
"30.10.2018","3.147,13","3.157,31","3.169,75","3.123,92","42,35M","-0,25%"
"29.10.2018","3.154,93","3.139,03","3.182,23","3.138,70","40,85M","0,64%"
"26.10.2018","3.134,89","3.157,11","3.157,11","3.090,85","54,19M","-0,93%"
"25.10.2018","3.164,40","3.126,69","3.166,44","3.107,88","52,19M","1,09%"
"24.10.2018","3.130,33","3.144,16","3.185,99","3.128,93","44,59M","-0,34%"
"23.10.2018","3.140,94","3.179,07","3.179,07","3.132,29","51,16M","-1,54%"
"22.10.2018","3.190,09","3.217,55","3.245,87","3.187,50","42,62M","-0,65%"
"19.10.2018","3.210,82","3.210,82","3.225,64","3.183,20","65,46M","-0,02%"
"18.10.2018","3.211,59","3.241,79","3.258,34","3.211,59","48,62M","-0,97%"
"17.10.2018","3.243,08","3.260,29","3.282,23","3.230,30","37,55M","-0,44%"
"16.10.2018","3.257,34","3.211,47","3.260,81","3.208,14","41,60M","1,46%"
"15.10.2018","3.210,37","3.193,79","3.214,91","3.180,61","31,36M","0,50%"
"12.10.2018","3.194,41","3.219,19","3.245,16","3.193,40","43,63M","-0,46%"
"11.10.2018","3.209,19","3.245,58","3.254,37","3.206,20","58,43M","-1,77%"
"10.10.2018","3.266,90","3.321,59","3.321,59","3.266,23","45,42M","-1,65%"
"09.10.2018","3.321,79","3.311,34","3.327,53","3.278,02","49,33M","0,36%"
"08.10.2018","3.309,72","3.338,02","3.338,02","3.306,28","40,63M","-1,07%"
"05.10.2018","3.345,51","3.374,27","3.377,70","3.343,67","38,44M","-0,88%"
"04.10.2018","3.375,08","3.400,12","3.400,15","3.371,22","43,22M","-0,89%"
"03.10.2018","3.405,48","3.395,16","3.414,23","3.389,52","39,81M","0,49%"
"02.10.2018","3.388,99","3.403,59","3.403,59","3.370,95","47,62M","-0,74%"
"01.10.2018","3.414,16","3.399,96","3.425,45","3.398,34","40,33M","0,44%"
"28.09.2018","3.399,20","3.440,40","3.440,40","3.380,27","70,05M","-1,47%"
"27.09.2018","3.449,79","3.429,58","3.452,41","3.408,48","38,36M","0,48%"
"26.09.2018","3.433,15","3.421,90","3.433,74","3.415,58","34,22M","0,39%"
"25.09.2018","3.419,78","3.410,05","3.425,64","3.408,70","35,90M","0,27%"
"24.09.2018","3.410,44","3.426,85","3.426,85","3.405,42","33,50M","-0,59%"
"21.09.2018","3.430,81","3.407,46","3.436,48","3.407,46","123,50M","0,81%"
"20.09.2018","3.403,12","3.369,00","3.409,22","3.368,37","54,59M","1,03%"
"19.09.2018","3.368,56","3.359,87","3.373,90","3.351,64","45,42M","0,30%"
"18.09.2018","3.358,46","3.343,99","3.368,31","3.337,37","35,56M","0,37%"
"17.09.2018","3.346,11","3.340,04","3.351,35","3.333,47","34,80M","0,04%"
"14.09.2018","3.344,63","3.339,31","3.351,53","3.334,24","30,79M","0,33%"
"13.09.2018","3.333,68","3.325,44","3.354,07","3.323,09","37,02M","0,21%"
"12.09.2018","3.326,60","3.313,98","3.329,55","3.304,80","43,34M","0,45%"
"11.09.2018","3.311,66","3.313,09","3.318,59","3.286,97","35,78M","0,07%"
"10.09.2018","3.309,28","3.291,65","3.323,55","3.288,97","42,17M","0,48%"
"07.09.2018","3.293,36","3.298,01","3.305,63","3.274,40","43,07M","-0,08%"
"06.09.2018","3.295,95","3.315,88","3.328,69","3.295,95","39,78M","-0,59%"
"05.09.2018","3.315,62","3.352,71","3.352,71","3.315,42","54,14M","-1,30%"
"04.09.2018","3.359,36","3.401,25","3.408,25","3.343,98","44,82M","-1,05%"
"03.09.2018","3.394,99","3.391,82","3.397,24","3.382,02","23,26M","0,06%"
"31.08.2018","3.392,90","3.428,63","3.428,63","3.389,92","42,81M","-1,11%"
"30.08.2018","3.430,99","3.452,94","3.452,94","3.423,42","34,61M","-0,73%"
"29.08.2018","3.456,13","3.448,44","3.457,84","3.438,15","26,71M","0,25%"
"28.08.2018","3.447,57","3.459,12","3.463,03","3.447,55","32,42M","-0,24%"
"27.08.2018","3.456,01","3.435,12","3.460,72","3.433,59","19,73M","0,83%"
"24.08.2018","3.427,44","3.419,45","3.436,55","3.419,45","23,01M","0,24%"
"23.08.2018","3.419,26","3.420,60","3.430,37","3.416,10","25,14M","-0,03%"
"22.08.2018","3.420,18","3.408,28","3.429,59","3.404,87","30,09M","0,25%"
"21.08.2018","3.411,66","3.390,26","3.424,00","3.387,04","29,32M","0,53%"
"20.08.2018","3.393,67","3.376,38","3.405,17","3.376,38","23,00M","0,61%"
"17.08.2018","3.372,94","3.378,49","3.385,74","3.354,30","37,45M","-0,14%"
"16.08.2018","3.377,56","3.366,01","3.381,63","3.357,49","35,45M","0,55%"
"15.08.2018","3.359,08","3.411,27","3.422,86","3.349,14","38,55M","-1,48%"
"14.08.2018","3.409,44","3.415,08","3.435,12","3.398,38","34,59M","-0,01%"
"13.08.2018","3.409,68","3.423,37","3.424,23","3.400,23","41,68M","-0,48%"
"10.08.2018","3.426,28","3.486,31","3.486,31","3.413,68","58,23M","-1,94%"
"09.08.2018","3.494,13","3.490,37","3.496,97","3.478,28","27,20M","0,02%"
"08.08.2018","3.493,60","3.502,17","3.509,31","3.486,57","30,39M","-0,31%"
"07.08.2018","3.504,37","3.487,03","3.514,97","3.487,03","27,82M","0,60%"
"06.08.2018","3.483,30","3.483,19","3.502,35","3.472,01","29,32M","0,03%"
"03.08.2018","3.482,40","3.474,82","3.491,47","3.470,26","33,50M","0,38%"
"02.08.2018","3.469,21","3.505,11","3.505,11","3.460,14","52,67M","-1,14%"
"01.08.2018","3.509,23","3.527,82","3.531,61","3.506,68","45,24M","-0,46%"
"31.07.2018","3.525,49","3.512,03","3.536,87","3.509,10","45,89M","0,38%"
"30.07.2018","3.512,31","3.517,56","3.521,42","3.511,90","26,94M","-0,42%"
"27.07.2018","3.527,18","3.512,74","3.529,39","3.509,67","36,21M","0,51%"
"26.07.2018","3.509,26","3.472,82","3.509,38","3.472,82","41,71M","1,18%"
"25.07.2018","3.468,45","3.482,31","3.486,04","3.460,00","32,69M","-0,43%"
"24.07.2018","3.483,31","3.460,66","3.493,98","3.460,48","36,65M","0,85%"
"23.07.2018","3.454,05","3.453,91","3.460,40","3.439,68","26,11M","-0,17%"
"20.07.2018","3.460,03","3.466,41","3.481,83","3.431,95","43,73M","-0,33%"
"19.07.2018","3.471,64","3.481,41","3.486,98","3.466,72","31,41M","-0,39%"
"18.07.2018","3.485,08","3.468,51","3.487,00","3.468,51","33,39M","0,80%"
"17.07.2018","3.457,50","3.445,34","3.461,93","3.429,96","32,89M","0,24%"
"16.07.2018","3.449,08","3.455,17","3.464,39","3.441,88","26,85M","-0,16%"
"13.07.2018","3.454,54","3.454,29","3.466,26","3.447,87","29,76M","0,26%"
"12.07.2018","3.445,49","3.427,21","3.446,55","3.418,06","30,42M","0,68%"
"11.07.2018","3.422,35","3.454,66","3.454,66","3.422,35","34,33M","-1,47%"
"10.07.2018","3.473,31","3.465,25","3.480,44","3.455,98","32,94M","0,37%"
"09.07.2018","3.460,44","3.458,45","3.471,50","3.451,96","27,27M","0,35%"
"06.07.2018","3.448,49","3.449,50","3.453,91","3.430,31","34,56M","0,22%"
"05.07.2018","3.440,92","3.411,24","3.459,91","3.411,24","41,15M","0,85%"
"04.07.2018","3.412,03","3.402,02","3.417,69","3.400,45","26,70M","0,17%"
"03.07.2018","3.406,34","3.382,68","3.420,38","3.379,01","36,55M","1,01%"
"02.07.2018","3.372,21","3.375,56","3.386,07","3.345,09","36,34M","-0,69%"
"29.06.2018","3.395,60","3.389,44","3.420,97","3.389,44","44,19M","0,89%"
"28.06.2018","3.365,52","3.383,43","3.403,36","3.347,94","39,15M","-0,93%"
"27.06.2018","3.397,13","3.368,12","3.424,60","3.340,85","48,50M","0,84%"
"26.06.2018","3.368,72","3.379,14","3.387,09","3.363,33","33,46M","-0,01%"
"25.06.2018","3.369,21","3.422,60","3.425,40","3.369,21","33,40M","-2,10%"
"22.06.2018","3.441,60","3.407,29","3.441,60","3.407,29","32,63M","1,12%"
"21.06.2018","3.403,51","3.442,69","3.456,61","3.395,27","40,38M","-1,05%"
"20.06.2018","3.439,60","3.443,51","3.461,65","3.437,24","40,26M","0,13%"
"19.06.2018","3.435,30","3.459,54","3.459,54","3.410,41","39,79M","-0,90%"
"18.06.2018","3.466,65","3.500,25","3.500,90","3.451,90","35,99M","-1,09%"
"15.06.2018","3.505,02","3.528,71","3.540,64","3.505,02","86,12M","-0,63%"
"14.06.2018","3.527,11","3.466,43","3.534,31","3.457,12","54,64M","1,37%"
"13.06.2018","3.479,56","3.475,29","3.488,13","3.464,26","42,69M","0,11%"
"12.06.2018","3.475,58","3.490,76","3.497,03","3.472,64","40,64M","-0,13%"
"11.06.2018","3.480,22","3.451,50","3.483,70","3.451,50","54,67M","0,95%"
"08.06.2018","3.447,30","3.452,35","3.454,12","3.422,03","44,13M","-0,36%"
"07.06.2018","3.459,77","3.468,52","3.489,96","3.449,69","41,78M","-0,03%"
"06.06.2018","3.460,82","3.457,45","3.470,51","3.434,35","53,70M","0,12%"
"05.06.2018","3.456,79","3.467,26","3.497,32","3.456,79","49,75M","-0,37%"
"04.06.2018","3.469,57","3.465,25","3.485,33","3.463,33","44,30M","0,46%"
"01.06.2018","3.453,54","3.420,84","3.468,14","3.420,84","62,93M","1,38%"
"31.05.2018","3.406,65","3.445,07","3.455,15","3.391,01","84,11M","-1,00%"
"30.05.2018","3.441,19","3.420,79","3.446,28","3.408,56","72,89M","0,38%"
"29.05.2018","3.428,14","3.467,09","3.467,09","3.398,32","92,41M","-1,56%"
"28.05.2018","3.482,64","3.511,29","3.540,03","3.473,35","48,63M","-0,93%"
"25.05.2018","3.515,36","3.526,43","3.551,82","3.493,61","65,53M","-0,18%"
"24.05.2018","3.521,76","3.543,09","3.560,56","3.507,39","45,06M","-0,57%"
"23.05.2018","3.541,82","3.580,67","3.580,67","3.528,12","46,94M","-1,27%"
"22.05.2018","3.587,25","3.575,22","3.595,10","3.572,38","46,54M","0,41%"
"21.05.2018","3.572,57","3.572,48","3.584,49","3.570,97","33,72M","-0,03%"
"18.05.2018","3.573,76","3.582,56","3.596,20","3.566,53","71,74M","-0,51%"
"17.05.2018","3.592,18","3.562,24","3.592,18","3.562,24","43,85M","0,82%"
"16.05.2018","3.562,85","3.562,54","3.567,60","3.550,90","54,10M","-0,04%"
"15.05.2018","3.564,29","3.562,46","3.570,33","3.552,23","39,19M","-0,04%"
"14.05.2018","3.565,74","3.564,90","3.568,53","3.553,67","29,12M","0,01%"
"11.05.2018","3.565,52","3.565,15","3.569,72","3.556,22","30,06M","-0,12%"
"10.05.2018","3.569,71","3.564,83","3.574,09","3.549,26","36,45M","-0,00%"
"09.05.2018","3.569,74","3.559,92","3.570,63","3.556,96","41,72M","0,33%"
"08.05.2018","3.557,88","3.562,51","3.564,73","3.541,94","47,02M","-0,18%"
"07.05.2018","3.564,19","3.545,47","3.566,06","3.540,14","24,92M","0,38%"
"04.05.2018","3.550,59","3.531,40","3.550,59","3.524,48","37,92M","0,61%"
"03.05.2018","3.529,12","3.548,09","3.549,14","3.523,00","34,61M","-0,69%"
"02.05.2018","3.553,79","3.532,87","3.557,87","3.531,84","41,39M","0,50%"
"01.05.2018","3.536,26","3.536,42","3.536,63","3.536,07","36,45M","-0,01%"
"30.04.2018","3.536,52","3.516,71","3.538,17","3.512,70","36,59M","0,50%"
"27.04.2018","3.518,78","3.510,28","3.522,59","3.503,59","35,68M","0,36%"
"26.04.2018","3.506,03","3.485,97","3.507,83","3.477,23","38,94M","0,58%"
"25.04.2018","3.485,83","3.500,60","3.500,60","3.464,35","41,55M","-0,71%"
"24.04.2018","3.510,88","3.509,40","3.523,81","3.493,88","44,01M","-0,06%"
"23.04.2018","3.513,06","3.494,07","3.514,65","3.482,27","31,61M","0,54%"
"20.04.2018","3.494,20","3.484,56","3.505,44","3.479,24","41,53M","0,22%"
"19.04.2018","3.486,60","3.492,91","3.495,39","3.478,63","29,42M","-0,12%"
"18.04.2018","3.490,89","3.476,59","3.494,82","3.476,59","34,24M","0,37%"
"17.04.2018","3.477,91","3.444,39","3.486,53","3.444,39","37,66M","1,07%"
"16.04.2018","3.441,04","3.450,39","3.455,03","3.435,58","24,56M","-0,20%"
"13.04.2018","3.448,00","3.445,03","3.466,99","3.438,93","35,10M","0,12%"
"12.04.2018","3.443,97","3.419,60","3.447,52","3.413,68","30,99M","0,71%"
"11.04.2018","3.419,71","3.435,64","3.435,64","3.411,63","31,70M","-0,55%"
"10.04.2018","3.438,78","3.425,82","3.445,34","3.425,82","32,26M","0,70%"
"09.04.2018","3.414,85","3.413,89","3.433,68","3.403,20","27,51M","0,20%"
"06.04.2018","3.408,10","3.419,94","3.421,73","3.399,97","31,62M","-0,64%"
"05.04.2018","3.429,95","3.353,71","3.433,81","3.353,71","42,51M","2,68%"
"04.04.2018","3.340,35","3.345,76","3.350,97","3.300,50","38,93M","-0,20%"
"03.04.2018","3.346,93","3.349,02","3.359,12","3.324,45","33,83M","-0,43%"
"29.03.2018","3.361,50","3.335,69","3.379,38","3.333,25","39,40M","0,91%"
"28.03.2018","3.331,25","3.306,34","3.331,25","3.267,96","46,33M","0,43%"
"27.03.2018","3.316,95","3.286,70","3.336,80","3.286,70","37,50M","1,17%"
"26.03.2018","3.278,72","3.301,50","3.320,86","3.261,86","40,83M","-0,59%"
"23.03.2018","3.298,07","3.339,70","3.339,70","3.279,46","55,40M","-1,50%"
"22.03.2018","3.348,19","3.393,61","3.394,38","3.320,09","52,81M","-1,55%"
"21.03.2018","3.401,04","3.413,67","3.418,43","3.387,29","36,46M","-0,32%"
"20.03.2018","3.412,08","3.398,88","3.415,35","3.383,17","30,71M","0,51%"
"19.03.2018","3.394,79","3.430,60","3.430,60","3.386,86","35,46M","-1,24%"
"16.03.2018","3.437,40","3.412,86","3.448,63","3.411,82","95,28M","0,68%"
"15.03.2018","3.414,13","3.394,31","3.419,01","3.391,11","40,89M","0,68%"
"14.03.2018","3.390,98","3.397,48","3.417,00","3.384,20","38,00M","-0,19%"
"13.03.2018","3.397,35","3.430,57","3.446,42","3.385,64","41,76M","-0,94%"
"12.03.2018","3.429,48","3.434,51","3.444,04","3.417,97","30,10M","0,26%"
"09.03.2018","3.420,54","3.410,95","3.435,04","3.403,06","33,62M","0,21%"
"08.03.2018","3.413,28","3.376,65","3.419,33","3.374,77","38,27M","1,06%"
"07.03.2018","3.377,36","3.354,26","3.384,29","3.337,39","35,09M","0,58%"
"06.03.2018","3.357,86","3.366,56","3.390,81","3.357,86","39,65M","0,08%"
"05.03.2018","3.355,32","3.314,74","3.360,45","3.309,25","48,11M","0,92%"
"02.03.2018","3.324,75","3.386,54","3.386,54","3.316,75","53,95M","-2,19%"
"01.03.2018","3.399,16","3.429,96","3.435,28","3.387,02","41,80M","-1,16%"
"28.02.2018","3.438,96","3.451,47","3.462,98","3.434,04","40,37M","-0,55%"
"27.02.2018","3.458,03","3.468,28","3.476,21","3.448,53","38,10M","-0,15%"
"26.02.2018","3.463,18","3.449,16","3.469,98","3.449,16","31,48M","0,63%"
"23.02.2018","3.441,46","3.435,74","3.444,23","3.423,62","37,60M","0,28%"
"22.02.2018","3.431,99","3.418,53","3.440,19","3.393,28","44,12M","0,05%"
"21.02.2018","3.430,16","3.431,68","3.432,97","3.405,35","34,09M","-0,14%"
"20.02.2018","3.435,08","3.407,66","3.436,21","3.398,92","37,01M","0,80%"
"19.02.2018","3.407,79","3.432,53","3.436,68","3.404,09","25,87M","-0,55%"
"16.02.2018","3.426,80","3.398,61","3.432,07","3.398,61","48,77M","1,10%"
"15.02.2018","3.389,63","3.373,91","3.414,34","3.373,91","46,75M","0,59%"
"14.02.2018","3.369,83","3.350,46","3.381,13","3.314,50","55,13M","0,87%"
"13.02.2018","3.340,93","3.367,69","3.375,23","3.340,93","38,66M","-0,81%"
"12.02.2018","3.368,25","3.334,17","3.387,07","3.334,17","43,55M","1,27%"
"09.02.2018","3.325,99","3.372,19","3.379,46","3.306,66","71,22M","-1,52%"
"08.02.2018","3.377,30","3.433,19","3.443,75","3.360,54","63,05M","-2,24%"
"07.02.2018","3.454,52","3.408,10","3.465,90","3.402,34","67,13M","1,76%"
"06.02.2018","3.394,92","3.415,57","3.440,38","3.362,85","96,28M","-2,41%"
"05.02.2018","3.478,77","3.517,24","3.517,24","3.474,85","49,35M","-1,26%"
"02.02.2018","3.523,28","3.570,95","3.570,95","3.523,28","50,23M","-1,51%"
"01.02.2018","3.577,35","3.616,16","3.636,22","3.567,20","49,68M","-0,88%"
"31.01.2018","3.609,29","3.605,70","3.620,94","3.600,36","41,89M","0,07%"
"30.01.2018","3.606,75","3.633,26","3.633,35","3.601,39","44,03M","-1,00%"
"29.01.2018","3.643,04","3.648,41","3.651,21","3.636,05","35,50M","-0,12%"
"26.01.2018","3.647,41","3.631,29","3.652,48","3.630,43","31,15M","0,48%"
"25.01.2018","3.630,15","3.640,71","3.659,33","3.614,06","40,96M","-0,36%"
"24.01.2018","3.643,22","3.671,01","3.674,50","3.643,22","34,41M","-0,79%"
"23.01.2018","3.672,29","3.675,44","3.687,22","3.662,86","37,42M","0,19%"
